iter	Passed	Remaining
624	4328	9523
625	4339	9524
626	4350	9526
627	4360	9526
628	4371	9527
629	4381	9527
630	4391	9528
631	4402	9530
632	4413	9531
633	4424	9532
634	4436	9535
635	4446	9536
636	4452	9526
637	4457	9515
638	4463	9507
639	4469	9496
640	4474	9486
641	4480	9477
642	4485	9466
643	4491	9456
644	4497	9447
645	4502	9436
646	4507	9426
647	4513	9416
648	4518	9405
649	4523	9394
650	4529	9385
651	4534	9375
652	4540	9366
653	4546	9356
654	4551	9345
655	4556	9334
656	4562	9325
657	4567	9315
658	4572	9305
659	4578	9295
660	4583	9284
661	4588	9274
662	4594	9266
663	4600	9255
664	4605	9246
665	4611	9237
666	4616	9226
667	4622	9217
668	4629	9210
669	4634	9200
670	4640	9190
671	4646	9181
672	4651	9171
673	4657	9162
674	4662	9152
675	4667	9142
676	4674	9134
677	4679	9124
678	4684	9114
679	4690	9105
680	4696	9096
681	4701	9086
682	4707	9078
683	4713	9069
684	4718	9058
685	4725	9051
686	4731	9042
687	4738	9035
688	4743	9026
689	4750	9018
690	4756	9010
691	4762	9002
692	4769	8996
693	4776	8989
694	4782	8980
695	4788	8971
696	4793	8961
697	4798	8951
698	4804	8942
699	4809	8932
700	4815	8923
701	4821	8914
702	4826	8904
703	4831	8894
704	4836	8884
705	4841	8874
706	4846	8864
707	4852	8855
708	4857	8845
709	4862	8835
710	4869	8827
711	4874	8817
712	4879	8808
713	4886	8801
714	4892	8792
715	4897	8782
716	4902	8773
717	4907	8763
718	4913	8753
719	4918	8744
720	4924	8735
721	4930	8726
722	4935	8717
723	4940	8707
724	4945	8698
725	4951	8688
726	4956	8679
727	4961	8669
728	4968	8662
729	4973	8653
730	4979	8644
731	4984	8635
732	4989	8624
733	4995	8615
734	5000	8607
735	5006	8597
736	5011	8588
737	5017	8579
738	5022	8570
739	5027	8560
740	5033	8551
741	5038	8541
742	5043	8532
743	5049	8524
744	5055	8515
745	5060	8507
746	5066	8498
747	5071	8488
748	5076	8478
749	5081	8469
750	5086	8460
751	5092	8451
752	5098	8443
753	5103	8433
754	5108	8424
755	5114	8415
756	5120	8408
757	5126	8399
758	5131	8390
